from_unitid,to_unitid,rank,year
101435,175980,22,2016
101435,101143,23,2016
101435,101286,24,2016
101435,100654,25,2016
449348,,1,2016
101462,100706,1,2016
101462,101514,2,2016
101462,102030,3,2016
101462,100654,4,2016
101462,102377,5,2016
101462,102270,6,2016
101462,101480,7,2016
101462,101912,8,2016
101462,102298,9,2016
101462,101675,10,2016
101462,101143,11,2016
101462,101073,12,2016
101462,101453,13,2016
101462,100724,14,2016
101462,101949,15,2016
101462,102313,16,2016
101462,101161,17,2016
101462,101569,18,2016
101462,101240,19,2016
101462,101499,20,2016
101462,101301,21,2016
101462,102067,22,2016
101462,138682,23,2016
101462,101028,24,2016
101462,140720,25,2016
101471,102313,1,2016
101480,100663,1,2016
101480,100751,2,2016
101480,102368,3,2016
101480,100858,4,2016
101480,101879,5,2016
101480,101240,6,2016
101480,100724,7,2016
101480,100654,8,2016
101480,102094,9,2016
101480,100706,10,2016
101480,101709,11,2016
101480,102049,12,2016
101480,141334,13,2016
101480,100830,14,2016
101480,102076,15,2016
101480,101587,16,2016
101480,100937,17,2016
101480,139940,18,2016
101480,102377,19,2016
101480,221838,20,2016
101480,101675,21,2016
101480,134945,22,2016
101480,138716,23,2016
101480,140164,24,2016
101480,102270,25,2016
101161,102094,1,2016
101161,102030,2,2016
101161,101693,3,2016
101161,101499,4,2016
101161,102368,5,2016
101161,136473,6,2016
101161,100751,7,2016
101161,100663,8,2016
101161,101189,9,2016
101161,102234,10,2016
101161,100654,11,2016
101161,100724,12,2016
101161,100858,13,2016
101161,100830,14,2016
101161,101587,15,2016
101161,176372,16,2016
101161,101949,17,2016
101161,102067,18,2016
101161,101435,19,2016
101161,101073,20,2016
101161,101301,21,2016
101161,101480,22,2016
101161,138354,23,2016
101161,101675,24,2016
101161,102270,25,2016
101499,101161,1,2016
101499,101994,2,2016
101499,136473,3,2016
101499,101602,4,2016
101499,102094,5,2016
101499,101949,6,2016
101499,102368,7,2016
101499,138354,8,2016
101499,101569,9,2016
101499,101240,10,2016
101499,136233,11,2016
101499,100663,12,2016
101499,100760,13,2016
101499,176071,14,2016
101499,434584,15,2016
101499,101073,16,2016
101499,102030,17,2016
101499,198084,18,2016
101499,101435,19,2016
101499,101189,20,2016
101499,101505,21,2016
101499,181419,22,2016
101499,107318,23,2016
101499,224891,24,2016
101499,102429,25,2016
101505,100663,1,2016
101505,101569,2,2016
101505,101709,3,2016
101505,100751,4,2016
101505,101295,5,2016
101505,101480,6,2016
101505,102067,7,2016
101505,101240,8,2016
101505,102049,9,2016
101505,100858,10,2016
101505,101879,11,2016
101505,102429,12,2016
101505,102368,13,2016
101505,101675,14,2016
101505,100937,15,2016
101505,100760,16,2016
101505,101189,17,2016
101505,102094,18,2016
101505,100830,19,2016
101505,100706,20,2016
101505,100654,21,2016
101505,100724,22,2016
101505,251260,23,2016
101505,102076,24,2016
101505,101435,25,2016
101514,100706,1,2016
101514,101879,2,2016
101514,101295,3,2016
101514,101736,4,2016
101514,100812,5,2016
101514,100751,6,2016
101514,100663,7,2016
101514,100858,8,2016
101514,101480,9,2016
101514,101462,10,2016
101514,102094,11,2016
101514,102368,12,2016
101514,100654,13,2016
101514,102049,14,2016
101514,102076,15,2016
101514,101587,16,2016
101514,101286,17,2016
101514,102067,18,2016
101514,221999,19,2016
101514,101709,20,2016
101514,176080,21,2016
101514,101240,22,2016
101514,101189,23,2016
101514,101505,24,2016
101514,100937,25,2016
101541,102049,1,2016
101541,102368,2,2016
101541,101435,3,2016
101541,101879,4,2016
101541,101587,5,2016
101541,101709,6,2016
101541,101693,7,2016
101541,100830,8,2016
101541,100751,9,2016
101541,100858,10,2016
101541,102234,11,2016
101541,146339,12,2016
101541,100663,13,2016
101541,101480,14,2016
101541,100937,15,2016
101541,102094,16,2016
101541,101189,17,2016
101541,102261,18,2016
101541,102429,19,2016
101541,102067,20,2016
101541,101240,21,2016
101541,101295,22,2016
101541,101505,23,2016
101541,100706,24,2016
101541,102270,25,2016
101569,101505,1,2016
101569,101675,2,2016
101569,100663,3,2016
101569,102067,4,2016
101569,100724,5,2016
101569,100654,6,2016
101569,101480,7,2016
101569,102270,8,2016
101569,100937,9,2016
101569,102298,10,2016
101569,100751,11,2016
101569,101587,12,2016
101569,102368,13,2016
101569,100830,14,2016
101569,100706,15,2016
101569,102377,16,2016
101569,100760,17,2016
101569,101301,18,2016
101569,101073,19,2016
101569,102049,20,2016
101569,102094,21,2016
101569,102030,22,2016
101569,101240,23,2016
101569,101709,24,2016
101569,101949,25,2016
101602,102368,1,2016
101602,101143,2,2016
101602,101286,3,2016
101602,101499,4,2016
101602,101949,5,2016
101602,101994,6,2016
101602,102067,7,2016
101602,100830,8,2016
101602,101301,9,2016
101602,101295,10,2016
101602,102094,11,2016
101602,102429,12,2016
101602,100858,13,2016
101602,136233,14,2016
101602,101161,15,2016
101602,100663,16,2016
101602,434584,17,2016
101602,101435,18,2016
101602,101189,19,2016
101602,100760,20,2016
101602,136473,21,2016
101602,101505,22,2016
101602,107743,23,2016
101602,101453,24,2016
101602,100724,25,2016
101648,187912,1,2016
101648,,2,2016
101648,234085,3,2016
101648,217864,4,2016
101648,,5,2016
101648,197036,6,2016
101648,130624,7,2016
101648,164155,8,2016
101648,230995,9,2016
101648,384388,10,2016
101648,128328,11,2016
101648,197027,12,2016
101648,100751,13,2016
101648,100858,14,2016
101648,384360,15,2016
101648,100830,16,2016
101648,166692,17,2016
101648,161299,18,2016
101648,176017,19,2016
101648,111188,20,2016
101648,100724,21,2016
101648,223117,22,2016
101648,221838,23,2016
101648,102368,24,2016
101648,423476,25,2016
101675,100724,1,2016
101675,100654,2,2016
101675,102270,3,2016
101675,102377,4,2016
101675,101569,5,2016
101675,100663,6,2016
101675,101480,7,2016
101675,101073,8,2016
101675,102298,9,2016
101675,138947,10,2016
101675,221838,11,2016
101675,138716,12,2016
101675,175856,13,2016
101675,102368,14,2016
101675,133650,15,2016
101675,100751,16,2016
101675,102094,17,2016
101675,140960,18,2016
101675,100706,19,2016
101675,100830,20,2016
101675,140720,21,2016
101675,101587,22,2016
101675,100937,23,2016
101675,159009,24,2016
101675,132602,25,2016
101897,102076,1,2016
101897,101240,2,2016
101897,100706,3,2016
101897,101480,4,2016
101897,100751,5,2016
101897,101949,6,2016
101897,100858,7,2016
101897,100663,8,2016
101897,101879,9,2016
101897,100760,10,2016
101897,101295,11,2016
101897,219824,12,2016
101897,100812,13,2016
101897,100654,14,2016
101897,100937,15,2016
101897,139144,16,2016
101897,101587,17,2016
101897,434584,18,2016
101897,140988,19,2016
101897,102094,20,2016
101897,107974,21,2016
101897,100830,22,2016
101897,102049,23,2016
101897,221740,24,2016
101897,101499,25,2016
101736,101879,1,2016
101736,101295,2,2016
101736,100706,3,2016
101736,101514,4,2016
101736,102429,5,2016
101736,100751,6,2016
101736,100663,7,2016
101736,102067,8,2016
101736,102368,9,2016
101736,100812,10,2016
101736,101569,11,2016
101736,100760,12,2016
101736,100858,13,2016
101736,101480,14,2016
101736,176169,15,2016
101736,176080,16,2016
101736,102270,17,2016
101736,100724,18,2016
101736,101587,19,2016
101736,100830,20,2016
101736,219888,21,2016
101736,101240,22,2016
101736,101505,23,2016
101736,102076,24,2016
101736,100937,25,2016
101912,168740,1,2016
101912,221661,2,2016
101912,162210,3,2016
101912,228468,4,2016
101912,117627,5,2016
101912,133872,6,2016
101912,236896,7,2016
101912,100654,8,2016
101912,131520,9,2016
101912,120865,10,2016
101912,141060,11,2016
101912,164571,12,2016
101912,102377,13,2016
101912,100706,14,2016
101912,117636,15,2016
101912,138947,16,2016
101912,100724,17,2016
101912,181738,18,2016
101912,101675,19,2016
101912,102298,20,2016
101912,102270,21,2016
101912,166027,22,2016
101912,101073,23,2016
101912,102049,24,2016
101912,101189,25,2016
101994,101499,1,2016
101994,101602,2,2016
101994,,3,2016
101994,434584,4,2016
101994,,5,2016
101994,101161,6,2016
101994,101569,7,2016
101994,102368,8,2016
101994,107743,9,2016
101994,101453,10,2016
101994,106810,11,2016
101994,100690,12,2016
101994,136473,13,2016
101994,107521,14,2016
101994,101949,15,2016
101994,107619,16,2016
101994,141802,17,2016
101994,102313,18,2016
101994,106795,19,2016
101994,107974,20,2016
101994,107318,21,2016
101994,106625,22,2016
101994,107549,23,2016
101994,106883,24,2016
101994,101143,25,2016
102049,100858,1,2016
102049,100751,2,2016
102049,100663,3,2016
102049,100937,4,2016
102049,219709,5,2016
102049,102368,6,2016
102049,101709,7,2016
102049,101480,8,2016
102049,102094,9,2016
102049,139959,10,2016
102049,221999,11,2016
102049,101879,12,2016
102049,221759,13,2016
102049,100706,14,2016
102049,176017,15,2016
102049,218070,16,2016
102049,176080,17,2016
102049,101693,18,2016
102049,139144,19,2016
102049,221971,20,2016
102049,140447,21,2016
102049,219976,22,2016
102049,100830,23,2016
102049,101189,24,2016
102049,101435,25,2016
102058,101675,1,2016
102058,101073,2,2016
102058,101912,3,2016
102058,102270,4,2016
102058,100724,5,2016
102058,141060,6,2016
102058,101480,7,2016
102058,138716,8,2016
102058,100654,9,2016
102058,138947,10,2016
102058,139940,11,2016
102067,100751,1,2016
102067,101587,2,2016
102067,102429,3,2016
102067,100663,4,2016
102067,101569,5,2016
102067,102368,6,2016
102067,101505,7,2016
102067,101480,8,2016
102067,102270,9,2016
102067,102094,10,2016
102067,101301,11,2016
102067,100858,12,2016
102067,101879,13,2016
102067,100724,14,2016
102067,101949,15,2016
102067,101675,16,2016
102067,100654,17,2016
102067,176080,18,2016
102067,102049,19,2016
102067,101295,20,2016
102067,100706,21,2016
102067,101709,22,2016
102067,100830,23,2016
102067,100937,24,2016
102067,101240,25,2016
102076,101240,1,2016
102076,101480,2,2016
102076,101295,3,2016
102076,101897,4,2016
102076,100706,5,2016
102076,101879,6,2016
102076,100663,7,2016
102076,100751,8,2016
102076,101709,9,2016
102076,100858,10,2016
102076,102368,11,2016
102076,102049,12,2016
102076,101505,13,2016
102076,102429,14,2016
102076,101435,15,2016
102076,102067,16,2016
102076,102094,17,2016
102076,101949,18,2016
102076,100937,19,2016
102076,100812,20,2016
102076,101514,21,2016
102076,101587,22,2016
102076,100830,23,2016
102076,101541,24,2016
102076,101286,25,2016
102261,102049,1,2016
102261,124487,2,2016
102261,101693,3,2016
102261,127954,4,2016
102261,101541,5,2016
102261,101189,6,2016
102261,139393,7,2016
102261,138868,8,2016
102261,103787,9,2016
102261,100937,10,2016
102261,133085,11,2016
102261,100663,12,2016
102261,107600,13,2016
102261,141237,14,2016
102261,139205,15,2016
102261,175421,16,2016
102261,110918,17,2016
102261,102669,18,2016
102261,139630,19,2016
102261,101709,20,2016
102261,132408,21,2016
102261,117104,22,2016
102261,141185,23,2016
102261,102368,24,2016
102261,106713,25,2016
251260,100858,1,2016
251260,100760,2,2016
251260,102368,3,2016
251260,101480,4,2016
251260,100830,5,2016
251260,100663,6,2016
251260,101028,7,2016
251260,101240,8,2016
251260,100751,9,2016
251260,139366,10,2016
251260,102094,11,2016
251260,101189,12,2016
251260,100724,13,2016
251260,102313,14,2016
251260,101435,15,2016
251260,102049,16,2016
251260,101569,17,2016
251260,101505,18,2016
251260,102067,19,2016
251260,139357,20,2016
251260,101879,21,2016
251260,101587,22,2016
251260,100937,23,2016
251260,101693,24,2016
251260,141334,25,2016
102234,102094,1,2016
102234,101693,2,2016
102234,159656,3,2016
102234,102368,4,2016
102234,100663,5,2016
102234,100751,6,2016
102234,100858,7,2016
102234,100937,8,2016
102234,160755,9,2016
102234,176372,10,2016
102234,175980,11,2016
102234,102049,12,2016
102234,159391,13,2016
102234,221351,14,2016
102234,100830,15,2016
102234,101189,16,2016
102234,102377,17,2016
102234,101480,18,2016
102234,100654,19,2016
102234,101709,20,2016
102234,102030,21,2016
102234,101435,22,2016
102234,100724,23,2016
102234,221519,24,2016
102234,100706,25,2016
102270,100654,1,2016
102270,100724,2,2016
102270,101675,3,2016
102270,102377,4,2016
102270,100751,5,2016
102270,100663,6,2016
102270,102368,7,2016
102270,101480,8,2016
102270,102094,9,2016
102270,138947,10,2016
102270,100706,11,2016
102270,138716,12,2016
102270,100830,13,2016
102270,102298,14,2016
102270,221838,15,2016
102270,101587,16,2016
102270,175856,17,2016
102270,101569,18,2016
102270,100937,19,2016
102270,133650,20,2016
102270,141060,21,2016
102270,102067,22,2016
102270,101879,23,2016
102270,100858,24,2016
102270,140960,25,2016
102298,100654,1,2016
102298,101675,2,2016
102298,100724,3,2016
102298,102377,4,2016
102298,102270,5,2016
102298,101073,6,2016
102298,101480,7,2016
102298,101569,8,2016
102298,102368,9,2016
102298,138947,10,2016
102298,176406,11,2016
102298,100706,12,2016
102298,218399,13,2016
102298,138716,14,2016
102298,175856,15,2016
102298,140720,16,2016
102298,159009,17,2016
102298,140960,18,2016
102298,176318,19,2016
102298,133650,20,2016
102298,199643,21,2016
102298,102094,22,2016
102298,100663,23,2016
102298,100937,24,2016
102298,100830,25,2016
100751,100858,1,2016
100751,100663,2,2016
100751,139959,3,2016
100751,176017,4,2016
100751,134130,5,2016
100751,221759,6,2016
100751,102368,7,2016
100751,134097,8,2016
100751,102094,9,2016
100751,176080,10,2016
100751,218663,11,2016
