school,cip
100858,51.2003
100858,51.2001
100858,38.0101
100858,13.1314
100858,40.0801
100858,01.1199
100858,45.1001
100858,01.0907
100858,42.0101
100858,44.0401
100858,09.0902
100858,09.0701
100858,13.1316
100858,13.1205
100858,13.1317
100858,44.0701
100858,45.1101
100858,16.0905
100858,13.1099
100858,23.1001
100858,27.0501
100858,13.1206
100858,23.1101
100858,13.1319
100858,14.2801
100858,51.2401
100858,51.2501
100858,03.0601
100858,26.0701
100937,52.0301
100937,50.0703
100937,13.1302
100937,50.0701
100937,05.0103
100937,26.0202
100937,26.0101
100937,30.1001
100937,52.0201
100937,40.0501
100937,11.0701
100937,50.0301
100937,50.0501
100937,45.0601
100937,13.9999
100937,14.0101
100937,23.0101
100937,03.0103
100937,50.0699
100937,50.0799
100937,50.0702
100937,16.0901
100937,16.0501
100937,54.0101
100937,52.1101
100937,05.0107
100937,30.0801
100937,27.0101
100937,30.9999
100937,13.1312
100937,50.0904
100937,50.0901
100937,50.0999
100937,50.0708
100937,38.0101
100937,40.0801
100937,50.0907
100937,45.1001
100937,42.0101
100937,38.0201
100937,50.0709
100937,13.1205
100937,45.1101
100937,16.0905
100937,13.1206
100937,50.0908
101073,52.0201
101073,13.1210
101073,13.1202
101073,13.1209
101073,24.0101
101189,39.0201
101189,13.1322
101189,26.0101
101189,52.0201
101189,52.0101
101189,11.0101
101189,43.0104
101189,50.0501
101189,13.1202
101189,23.0101
101189,13.1305
101189,50.0799
101189,31.0599
101189,13.1328
101189,54.0101
101189,52.1001
101189,22.9999
101189,24.0101
101189,52.1201
101189,51.1505
101189,13.1311
101189,27.0101
101189,50.0901
101189,51.1101
101189,51.1102
101189,42.0101
101189,13.1316
101189,13.1317
101189,45.0101
101189,31.0504
101435,52.0301
101435,51.0913
101435,26.0202
101435,26.0101
101435,52.0201
101435,52.0101
101435,26.0407
101435,40.0501
101435,09.0101
101435,23.0501
101435,50.0501
101435,13.1202
101435,23.0101
101435,50.0799
101435,50.0702
101435,31.0501
101435,54.0101
101435,30.2001
101435,31.0505
101435,13.1311
101435,27.0101
101435,30.9999
101435,50.0903
101435,13.1312
101435,50.0901
101435,31.0101
101435,13.1314
101435,45.1001
101435,42.0101
101435,38.0201
101435,39.0401
101435,16.0905
101435,31.0504
101480,52.0301
101480,50.0701
101480,26.0101
101480,52.0201
101480,40.0501
101480,11.0101
101480,13.1101
101480,43.0104
101480,50.0501
101480,13.1210
101480,45.0601
101480,13.0101
101480,13.0401
101480,13.0501
101480,15.0303
101480,13.1202
101480,15.9999
101480,23.0101
101480,19.0101
101480,52.0801
101480,16.0101
101480,45.0701
101480,13.1307
101480,54.0101
101480,24.0101
101480,15.0613
101480,52.1401
101480,27.0101
101480,50.0901
101480,51.1699
101480,51.1601
101480,15.0701
101480,31.0101
101480,13.1314
101480,45.1001
101480,42.0101
101480,44.0401
101480,44.9999
101480,09.0701
101480,13.1315
101480,13.1205
101480,44.0701
101480,45.1101
101480,13.1001
101541,52.0305
101541,50.0701
101541,39.0201
101541,30.0101
101541,26.0101
101541,52.0201
101541,40.0501
101541,45.0401
101541,13.1202
101541,23.0101
101541,13.1305
101541,16.0101
101541,54.0101
101541,13.1311
101541,27.0101
101541,30.9999
101541,50.0903
101541,42.0101
101541,13.1316
101541,13.1317
101587,52.0301
101587,13.1201
101587,51.0913
101587,30.0101
101587,26.0101
101587,52.0201
101587,40.0501
101587,13.1101
101587,13.1210
101587,13.0401
101587,13.0501
101587,13.1202
101587,15.9999
101587,23.0101
101587,54.0101
101587,47.0303
101587,15.0699
101587,52.1201
101587,26.1302
101587,27.0101
101587,51.1601
101587,13.1314
101587,42.0101
101587,13.1205
101587,45.1101
101587,13.1001
101675,52.0301
101675,13.1322
101675,26.0101
101675,52.0201
101675,13.1323
101675,40.0501
101675,19.0706
101675,09.9999
101675,11.0901
