from,to,rank
121150,110583,7
121150,122409,8
121150,117946,9
121150,110653,10
121309,109785,1
121309,121150,2
121309,111948,3
121309,105330,4
121309,123961,5
121309,110662,6
121309,117636,7
121309,110583,8
121309,120254,9
121309,112075,10
121691,121257,1
121691,125763,2
121691,123961,3
121691,120254,4
121691,123165,5
121691,111948,6
121691,110714,7
121691,110671,8
121691,110662,9
121691,123554,10
122409,110680,1
122409,122597,2
122409,110583,3
122409,123961,4
122409,122436,5
122409,110635,6
122409,110662,7
122409,110714,8
122409,110592,9
122409,110705,10
122436,122409,1
122436,110680,2
122436,123961,3
122436,110662,4
122436,110583,5
122436,141574,6
122436,110635,7
122436,117946,8
122436,110714,9
122436,122597,10
122597,122409,1
122597,122755,2
122597,110635,3
122597,110583,4
122597,122612,5
122597,110680,6
122597,110538,7
122597,110644,8
122597,110574,9
122597,110714,10
122612,122597,1
122612,110635,2
122612,122409,3
122612,110662,4
122612,123961,5
122612,110644,6
122612,110680,7
122612,110714,8
122612,110705,9
122612,122755,10
122755,122597,1
122755,110635,2
122755,110617,3
122755,110538,4
122755,110583,5
122755,110592,6
122755,122409,7
122755,110574,8
122755,123961,9
122755,110422,10
122931,120883,1
122931,123961,2
122931,110714,3
122931,110705,4
122931,110680,5
122931,122612,6
122931,110644,7
122931,117946,8
122931,110547,9
122931,115409,10
123572,110538,1
123572,110714,2
123572,115755,3
123572,122597,4
123572,110574,5
123572,122755,6
123572,110422,7
123572,110495,8
123572,122409,9
123572,110510,10
123961,110662,1
123961,110635,2
123961,243744,3
123961,110680,4
123961,121150,5
123961,193900,6
123961,110705,7
123961,110653,8
123961,110583,9
123961,122409,10
125763,120254,1
125763,111948,2
125763,110592,3
125763,123961,4
125763,109785,5
125763,121691,6
125763,110662,7
125763,123554,8
125763,121257,9
125763,117946,10
126562,126614,1
126562,126580,2
126562,126818,3
126562,127565,4
126562,199139,5
126562,142285,6
126562,164988,7
126562,134130,8
126562,199120,9
126562,135726,10
126614,126818,1
126614,126562,2
126614,126580,3
126614,110635,4
126614,134130,5
126614,134097,6
126614,110662,7
126614,228778,8
126614,132903,9
126614,190415,10
126678,126818,1
126678,190415,2
126678,130794,3
126678,127741,4
126678,217156,5
126678,166027,6
126678,110635,7
126678,227757,8
126678,155025,9
126678,234827,10
126775,229115,1
126775,228778,2
126775,102614,3
126775,166683,4
126775,203845,5
126775,123961,6
126775,134097,7
126775,137351,8
126775,228723,9
126775,105330,10
126818,126614,1
126818,209542,2
126818,105330,3
126818,126580,4
126818,123961,5
126818,236939,6
126818,126562,7
126818,100858,8
126818,236948,9
126818,110662,10
127060,134097,1
127060,132903,2
127060,135726,3
127060,133951,4
127060,139658,5
127060,166027,6
127060,236939,7
127060,174066,8
127060,110583,9
127060,126614,10
127741,128106,1
127741,126580,2
127741,105330,3
127741,147703,4
127741,126678,5
127741,188030,6
127741,127565,7
127741,128391,8
127741,240727,9
127741,181464,10
128771,130776,1
128771,130493,2
128771,198464,3
128771,237525,4
128771,183062,5
128771,165024,6
128771,129020,7
128771,232423,8
128771,188429,9
128771,217819,10
128902,198516,1
128902,131469,2
128902,166629,3
128902,130794,4
128902,131496,5
128902,130590,6
128902,240444,7
128902,209551,8
128902,165334,9
128902,166984,10
129020,164988,1
129020,166629,2
129020,217484,3
129020,190415,4
129020,186380,5
129020,217156,6
129020,167358,7
129020,214777,8
129020,198516,9
129020,234076,10
129525,217484,1
129525,164988,2
129525,130253,3
129525,166513,4
129525,130794,5
129525,191968,6
129525,186380,7
129525,163286,8
129525,196413,9
129525,217156,10
129941,164988,1
129941,217518,2
129941,130226,3
129941,130253,4
129941,164720,5
129941,132903,6
129941,135726,7
129941,190600,8
129941,217484,9
129941,161457,10
130226,130253,1
130226,164988,2
130226,166629,3
130226,167358,4
130226,191968,5
130226,196413,6
130226,167987,7
130226,192819,8
130226,167899,9
130226,165699,10
130253,130226,1
130253,164988,2
130253,217156,3
130253,129242,4
130253,167987,5
130253,217518,6
130253,191968,7
130253,216597,8
130253,186380,9
130253,129525,10
130314,129020,1
130314,195809,2
130493,128771,1
130493,130794,2
130493,130776,3
130493,129020,4
130493,166513,5
130493,167987,6
130493,167729,7
130493,167899,8
130493,129525,9
130493,166850,10
130697,217156,1
130697,221999,2
130697,190415,3
130697,130794,4
130697,234076,5
130697,190150,6
130697,147767,7
130697,215062,8
130697,199120,9
130697,204501,10
130776,128771,1
130776,130493,2
130776,217420,3
130776,165024,4
130776,129020,5
130794,166027,1
130794,243744,2
130794,186131,3
130794,190415,4
130794,190150,5
130794,217156,6
130794,110635,7
130794,215062,8
130794,182670,9
130794,198419,10
130943,214777,1
130943,163286,2
130943,186380,3
130943,216597,4
130943,215293,5
130943,234076,6
130943,215062,7
130943,130934,8
130943,199120,9
130943,212054,10
131159,131469,1
131159,193900,2
131159,131496,3
131159,164988,4
131159,199120,5
131159,123961,6
131159,139658,7
131159,196413,8
131159,166629,9
131159,144281,10
131283,131469,1
131283,131496,2
131283,167358,3
131283,131159,4
131283,163046,5
131283,217156,6
131283,193900,7
131283,190150,8
131283,211273,9
131283,209825,10
131399,148654,1
131399,131496,2
131399,199120,3
131399,199139,4
131399,163578,5
131399,163286,6
131399,131520,7
131399,162928,8
131399,163268,9
131399,166638,10
131469,164988,1
131469,193900,2
131469,131159,3
131469,167358,4
131469,131496,5
131469,163286,6
131469,190150,7
131469,135726,8
131469,123961,9
131469,166027,10
131496,243744,1
131496,190415,2
131496,166027,3
131496,221999,4
131496,130794,5
131496,215062,6
131496,217156,7
131496,193900,8
131496,190150,9
131496,162928,10
131520,166027,1
131520,163453,2
131520,133650,3
131520,141060,4
131520,204796,5
131520,139959,6
131520,138947,7
131520,130794,8
131520,228723,9
131520,223232,10
132471,132903,1
132471,134097,2
132471,433660,3
132471,134130,4
132471,133669,5
132471,137351,6
132471,133951,7
132471,135726,8
132471,137847,9
132471,134079,10
132903,134130,1
132903,137351,2
132903,134097,3
132903,133951,4
132903,136172,5
132903,135726,6
132903,133669,7
132903,433660,8
132903,138354,9
132903,133650,10
133669,132903,1
133669,137351,2
133669,134097,3
133669,133951,4
133669,134130,5
133669,433660,6
133669,138354,7
133669,133650,8
133669,136172,9
133669,135726,10
133809,134097,1
133809,134130,2
133809,132903,3
133809,136950,4
133809,133492,5
133809,137847,6
133809,133650,7
133881,132903,1
133881,134130,2
133881,134097,3
133881,137351,4
133881,135726,5
133881,133951,6
133881,133669,7
133881,164988,8
133881,133553,9
133881,136215,10
133951,132903,1
133951,134130,2
133951,134097,3
133951,137351,4
133951,133669,5
133951,135726,6
133951,433660,7
133951,133650,8
133951,138354,9
133951,136172,10
134097,132903,1
134097,134130,2
134097,137351,3
134097,133951,4
134097,135726,5
134097,133669,6
134097,133650,7
134097,433660,8
134097,136172,9
134097,138354,10
134130,132903,1
134130,134097,2
134130,137351,3
134130,135726,4
134130,133951,5
134130,136172,6
134130,133669,7
134130,433660,8
134130,138354,9
134130,133650,10
134945,132903,1
134945,134130,2
134945,137847,3
134945,137351,4
134945,134097,5
134945,133951,6
134945,133669,7
134945,136172,8
134945,135726,9
134945,134079,10
135726,134130,1
135726,132903,2
135726,134097,3
135726,137351,4
135726,133951,5
135726,133669,6
135726,136172,7
135726,164988,8
135726,193900,9
135726,433660,10
136172,132903,1
136172,134130,2
136172,137351,3
136172,134097,4
136172,138354,5
136172,133669,6
136172,433660,7
136172,133951,8
136172,135726,9
136172,133650,10
136330,132903,1
136330,137351,2
136330,134130,3
136330,133669,4
136330,134097,5
136330,433660,6
136330,135726,7
136330,133951,8
136330,136215,9
136330,133650,10
136950,132903,1
136950,134097,2
136950,134130,3
136950,137546,4
136950,137351,5
136950,133669,6
136950,137847,7
136950,136172,8
136950,135726,9
136950,133711,10
137032,132903,1
137032,134097,2
137032,134130,3
137032,137847,4
137032,135726,5
137032,136172,6
137032,136950,7
137032,138354,8
137032,133669,9
137032,136330,10
137351,132903,1
137351,134130,2
137351,134097,3
137351,133951,4
137351,133669,5
137351,433660,6
137351,136172,7
137351,135726,8
137351,138354,9
137351,133650,10
137546,132903,1
137546,133669,2
137546,134130,3
137546,137351,4
137546,134097,5
137546,136950,6
137546,137847,7
137546,135726,8
137546,133951,9
