from,to,rank
101301,102067,2
101301,101569,3
101301,100724,4
101301,100830,5
101301,102368,6
101301,100663,7
101301,101675,8
101301,100654,9
101301,100751,10
101301,102030,11
101301,101161,12
101301,101949,13
101301,101587,14
101301,100706,15
101301,101602,16
101301,102298,17
101301,101286,18
101301,102377,19
101301,100858,20
101301,100760,21
101301,102270,22
101301,101505,23
101301,100937,24
101301,101709,25
102313,251260,1
102313,102368,2
102313,100830,3
102313,101471,4
102313,100724,5
102313,102270,6
102313,101569,7
102313,101435,8
102313,102298,9
102313,102067,10
102313,100654,11
102313,101912,12
102313,101301,13
102313,102377,14
102313,101994,15
102313,101189,16
102313,101073,17
102313,100690,18
102313,100663,19
102313,100760,20
102313,100858,21
102313,101675,22
102313,102429,23
102313,101462,24
102313,107600,25
101453,101143,1
101453,106810,2
101453,100690,3
101453,434584,4
101453,181376,5
101453,207856,6
101453,,7
101453,223506,8
101453,132408,9
101453,440794,10
101453,260947,11
101453,101994,12
101453,101189,13
101453,107743,14
101453,102030,15
101453,220215,16
101453,155007,17
101453,384254,18
101453,107521,19
101453,219505,20
101453,101912,21
101453,174525,22
101453,107619,23
101453,137953,24
101453,101286,25
101435,102368,1
101435,101189,2
101435,100830,3
101435,100858,4
101435,102049,5
101435,100663,6
101435,100937,7
101435,102094,8
101435,100751,9
101435,101693,10
101435,101480,11
101435,101709,12
101435,101587,13
101435,101879,14
101435,100724,15
101435,102234,16
101435,101541,17
101435,102377,18
101435,100706,19
101435,102270,20
101435,101675,21
101435,175980,22
101435,101143,23
101435,101286,24
101435,100654,25
449348,,1
101462,100706,1
101462,101514,2
101462,102030,3
101462,100654,4
101462,102377,5
101462,102270,6
101462,101480,7
101462,101912,8
101462,102298,9
101462,101675,10
101462,101143,11
101462,101073,12
101462,101453,13
101462,100724,14
101462,101949,15
101462,102313,16
101462,101161,17
101462,101569,18
101462,101240,19
101462,101499,20
101462,101301,21
101462,102067,22
101462,138682,23
101462,101028,24
101462,140720,25
101471,102313,1
101480,100663,1
101480,100751,2
101480,102368,3
101480,100858,4
101480,101879,5
101480,101240,6
101480,100724,7
101480,100654,8
101480,102094,9
101480,100706,10
101480,101709,11
101480,102049,12
101480,141334,13
101480,100830,14
101480,102076,15
101480,101587,16
101480,100937,17
101480,139940,18
101480,102377,19
101480,221838,20
101480,101675,21
101480,134945,22
101480,138716,23
101480,140164,24
101480,102270,25
101161,102094,1
101161,102030,2
101161,101693,3
101161,101499,4
101161,102368,5
101161,136473,6
101161,100751,7
101161,100663,8
101161,101189,9
101161,102234,10
101161,100654,11
101161,100724,12
101161,100858,13
101161,100830,14
101161,101587,15
101161,176372,16
101161,101949,17
101161,102067,18
101161,101435,19
101161,101073,20
101161,101301,21
101161,101480,22
101161,138354,23
101161,101675,24
101161,102270,25
101499,101161,1
101499,101994,2
101499,136473,3
101499,101602,4
101499,102094,5
101499,101949,6
101499,102368,7
101499,138354,8
101499,101569,9
101499,101240,10
101499,136233,11
101499,100663,12
101499,100760,13
101499,176071,14
101499,434584,15
101499,101073,16
101499,102030,17
101499,198084,18
101499,101435,19
101499,101189,20
101499,101505,21
101499,181419,22
101499,107318,23
101499,224891,24
101499,102429,25
101505,100663,1
101505,101569,2
101505,101709,3
101505,100751,4
101505,101295,5
101505,101480,6
101505,102067,7
101505,101240,8
101505,102049,9
101505,100858,10
101505,101879,11
101505,102429,12
101505,102368,13
101505,101675,14
101505,100937,15
101505,100760,16
101505,101189,17
101505,102094,18
101505,100830,19
101505,100706,20
101505,100654,21
101505,100724,22
101505,251260,23
101505,102076,24
101505,101435,25
101514,100706,1
101514,101879,2
101514,101295,3
101514,101736,4
101514,100812,5
101514,100751,6
101514,100663,7
101514,100858,8
101514,101480,9
101514,101462,10
101514,102094,11
101514,102368,12
101514,100654,13
101514,102049,14
101514,102076,15
101514,101587,16
101514,101286,17
101514,102067,18
101514,221999,19
101514,101709,20
101514,176080,21
101514,101240,22
101514,101189,23
101514,101505,24
101514,100937,25
101541,102049,1
101541,102368,2
101541,101435,3
101541,101879,4
101541,101587,5
101541,101709,6
101541,101693,7
101541,100830,8
101541,100751,9
101541,100858,10
101541,102234,11
101541,146339,12
101541,100663,13
101541,101480,14
101541,100937,15
101541,102094,16
101541,101189,17
101541,102261,18
101541,102429,19
101541,102067,20
101541,101240,21
101541,101295,22
101541,101505,23
101541,100706,24
101541,102270,25
101569,101505,1
101569,101675,2
101569,100663,3
101569,102067,4
101569,100724,5
101569,100654,6
101569,101480,7
101569,102270,8
101569,100937,9
101569,102298,10
101569,100751,11
101569,101587,12
101569,102368,13
101569,100830,14
101569,100706,15
101569,102377,16
101569,100760,17
101569,101301,18
101569,101073,19
101569,102049,20
101569,102094,21
101569,102030,22
